SA4,SA4_Name,Pop_density_2022,Biz_density_2022,Station_density,Public_trans,Petrol_demand,Commute_dist_avg_1,Commute_dist_med_1,Commute_dist_avg_2,Commute_dist_med_2,No_stations_Nov23+,Min,Q1,Mean,Median,Q3,Max,SD,Skewness,Kurtosis,Clustering Distance,Cluster Name,Cluster ID
101,Capital Region,4.6,0.4487608,0.001830576,0.003771719,0.573360611,20.8,10.6,17.2,5.8,95,123,184.9,192.8498,191.9,199.9,259.7,10.47715,0.056974358,4.450618,5.98625587,Cluster1,1
102,Central Coast,207.7,15.36160723,0.046400703,0.009704643,0.583471849,28.3,14.4,15.4,10.4,78,160.9,182.9,194.777,193.9,205.9,229.9,15.04363,0.318616162,2.281986,2.821608286,Cluster1,1
103,Central West,3,0.310710007,0.001351408,0.00260835,0.543096344,17.4,4.7,17.3,4.7,95,163.5,181.9,191.254,190.9,199.9,227.9,11.85482,0.167064613,2.353211,2.325583637,Cluster1,1
104,Coffs Harbour - Grafton,11.2,0.908557813,0.005291102,0.002824975,0.549842857,14.3,6.8,13.8,6.8,70,167.7,182.9,191.2205,189.9,199.9,232.5,11.07177,0.520853779,3.091253,2.651400598,Cluster1,1
105,Far West and Orana,0.3,0.036495636,0.000212167,0.002671104,0.4845836,16.3,3.8,16.6,3.8,72,163.9,183.9,193.5591,190.9,203.9,256.9,12.04139,0.397653041,2.614243,4.227135859,Cluster1,1
106,Hunter Valley exc Newcastle,13.9,0.949686971,0.004746108,0.002958338,0.547877276,24.5,16.2,23.5,14.5,102,142.9,177.9,188.6702,186.9,198.9,229.9,14.55257,0.45527626,2.695309,4.728954608,Cluster1,1
107,Illawarra,206.4,13.87566989,0.044177617,0.007956293,0.565647298,22.1,11.1,13.6,8.5,68,159.9,183.9,196.1455,195.9,208.9,229.9,16.0924,0.156771648,2.19348,2.909160223,Cluster1,1
108,Mid North Coast,12.3,0.955308647,0.004668064,0.002139869,0.581946623,15.4,6.6,14.5,6.4,88,162.9,179.1,187.9734,187.9,195.9,228.9,10.80279,0.406338114,2.781347,2.896433895,Cluster1,1
109,Murray,1.3,0.133266542,0.000695321,0.002018123,0.467255221,15.3,5.8,15.7,6.2,68,169.9,183.9,192.0802,189.9,199.9,223,11.13876,0.238375827,2.205861,3.166197382,Cluster1,1
110,New England and North West,1.9,0.210561035,0.001099456,0.003267869,0.493558982,15.8,4.7,16.1,4.7,109,165.9,181.5,190.1029,188,199,229.7,10.88691,0.377066427,2.273161,3.070616397,Cluster1,1
